po_idx,po_code,po_desc,found_code,found_desc,found_source,db_type,score,match_type
1.1.1,93208,"EXECUÇÃO DE ALMOXARIFADO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, INCLUSO PRATELEIRAS",93208,"EXECUÇÃO DE ALMOXARIFADO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, INCLUSO PRATELEIRAS",SINAPI,INSUMO,100,EXACT_CODE
1.1.12,93214,"EXECUÇÃO DE RESERVATÓRIO ELEVADO DE ÁGUA (1000 LITROS) EM CANTEIRO DE OBRA, APOIADO EM ESTRUTURA DE MADEIRA",93214,"EXECUÇÃO DE RESERVATÓRIO ELEVADO DE ÁGUA (1000 LITROS) EM CANTEIRO DE OBRA, APOIADO EM ESTRUTURA DE MADEIRA",SINAPI,INSUMO,100,EXACT_CODE
1.1.13,104142,LIGAÇÃO PROVISÓRIA DE ESGOTO PARA CANTEIRO DE OBRAS,104142,LIGAÇÃO PROVISÓRIA DE ESGOTO PARA CANTEIRO DE OBRAS,SINAPI,INSUMO,100,EXACT_CODE
1.1.18,15.058.0050-0,"FORNECIMENTO DE AGUA,PARA OBRAS PUBLICAS",15.058.0050-0,"FORNECIMENTO DE AGUA,PARA OBRAS PUBLICAS",EMOP,INSUMO,100,EXACT_CODE
1.1.2,93582,"EXECUÇÃO DE CENTRAL DE ARMADURA EM CANTEIRO DE OBRA, NÃO INCLUSO MOBILIÁRIO E EQUIPAMENTOS",93582,"EXECUÇÃO DE CENTRAL DE ARMADURA EM CANTEIRO DE OBRA, NÃO INCLUSO MOBILIÁRIO E EQUIPAMENTOS",SINAPI,INSUMO,100,EXACT_CODE
1.1.20,CPU-002,CONSUMO DE ENERGIA MENSAL MÉDIO PARA O PERÍODO DE OBRA,CPU-002,CONSUMO DE ENERGIA MENSAL MÉDIO PARA O PERÍODO DE OBRA,PRÓPRIA,INSUMO,100,EXACT_CODE
1.1.22,ED-33228,BAIA PARA ACONDICIONAMENTO DE AGREGADOS (FORNECIMENTO E INSTALAÇÃO),ED-33228,BAIA PARA ACONDICIONAMENTO DE AGREGADOS (FORNECIMENTO E INSTALAÇÃO),SETOP,INSUMO,100,EXACT_CODE
1.1.23,CPU-EBSERH-03030,DESMOBILIZAÇÃO DE CANTEIRO DE OBRAS,CPU-EBSERH-03030,DESMOBILIZAÇÃO DE CANTEIRO DE OBRAS,CPU-PPR,INSUMO,100,EXACT_CODE
1.1.3,93210,"EXECUÇÃO DE REFEITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, NÃO INCLUSO MOBILIÁRIO E EQUIPAMENTOS",93210,"EXECUÇÃO DE REFEITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, NÃO INCLUSO MOBILIÁRIO E EQUIPAMENTOS",SINAPI,INSUMO,100,EXACT_CODE
1.1.4,93212,"EXECUÇÃO DE SANITÁRIO E VESTIÁRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, NÃO INCLUSO MOBILIÁRIO",93212,"EXECUÇÃO DE SANITÁRIO E VESTIÁRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, NÃO INCLUSO MOBILIÁRIO",SINAPI,INSUMO,100,EXACT_CODE
