parent_code,src,res_code,res_desc,res_unit,coef,price
104658,SINAPI,88316,SERVENTE COM ENCARGOS COMPLEMENTARES,H,1.279,29.0540166
104658,SINAPI,88309,PEDREIRO COM ENCARGOS COMPLEMENTARES,H,0.639,33.6814646
104658,SINAPI,36178,"PISO TATIL / PODOTATIL, LADRILHO HIDRAULICO/CONCRETO, *40 X 40* CM, E= 2,5* CM, PADRAO TATIL ALERTA OU DIRECIONAL, COR NATURAL",UN,6.4375,15.97
104658,SINAPI,34357,"REJUNTE CIMENTICIO, QUALQUER COR",KG,0.24,4.52
104658,SINAPI,34353,ARGAMASSA COLANTE AC II,KG,8.62,1.43
105002,SINAPI,104658,"PISO PODOTÁTIL DE ALERTA OU DIRECIONAL, DE CONCRETO, ASSENTADO SOBRE ARGAMASSA. AF_03/2024",M2,0.48,174.9008181108
105002,SINAPI,94965,"CONCRETO FCK = 25MPA, TRAÇO 1:2,3:2,7 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 400 L. AF_05/2021",M3,0.6650246,429.21106763253
105002,SINAPI,88316,SERVENTE COM ENCARGOS COMPLEMENTARES,H,7.208,29.0540166
105002,SINAPI,88309,PEDREIRO COM ENCARGOS COMPLEMENTARES,H,3.604,33.6814646
105002,SINAPI,5068,PREGO DE ACO POLIDO COM CABECA 17 X 21 (2 X 11),KG,0.036696,12.2
105002,SINAPI,4718,"PEDRA BRITADA N. 2 (19 A 38 MM) POSTO PEDREIRA/FORNECEDOR, SEM FRETE",M3,0.027,70.5
105002,SINAPI,4509,"SARRAFO *2,5 X 10* CM EM PINUS, MISTA OU EQUIVALENTE DA REGIAO - BRUTA",M,7.48,3.82
103368,SINAPI,88316,SERVENTE COM ENCARGOS COMPLEMENTARES,H,0.43,29.0540166
103368,SINAPI,88309,PEDREIRO COM ENCARGOS COMPLEMENTARES,H,0.86,33.6814646
103368,SINAPI,87292,"ARGAMASSA TRAÇO 1:2:8 (EM VOLUME DE CIMENTO, CAL E AREIA MÉDIA ÚMIDA) PARA EMBOÇO/MASSA ÚNICA/ASSENTAMENTO DE ALVENARIA DE VEDAÇÃO, PREPARO MECÂNICO COM BETONEIRA 400 L. AF_08/2019",M3,0.0095,510.63358374999996
103368,SINAPI,44463,"BLOCO CERAMICO / TIJOLO VAZADO PARA ALVENARIA DE VEDACAO, 9 FUROS NA HORIZONTAL, 14 X 19 X 39 CM (L X A X C)",UN,14.15,0.0
103368,SINAPI,37395,"PINO DE ACO COM FURO, HASTE = 27 MM (ACAO DIRETA)",CENTO,0.01,43.74
103368,SINAPI,34547,"TELA DE ACO SOLDADA GALVANIZADA/ZINCADA PARA ALVENARIA, FIO D = *1,20 A 1,70* MM, MALHA 15 X 15 MM, (C X L) *50 X 12* CM",M,0.42,3.5
103326,SINAPI,88316,SERVENTE COM ENCARGOS COMPLEMENTARES,H,0.495,29.0540166
103326,SINAPI,88309,PEDREIRO COM ENCARGOS COMPLEMENTARES,H,0.99,33.6814646
103326,SINAPI,87292,"ARGAMASSA TRAÇO 1:2:8 (EM VOLUME DE CIMENTO, CAL E AREIA MÉDIA ÚMIDA) PARA EMBOÇO/MASSA ÚNICA/ASSENTAMENTO DE ALVENARIA DE VEDAÇÃO, PREPARO MECÂNICO COM BETONEIRA 400 L. AF_08/2019",M3,0.0138,510.63358374999996
103326,SINAPI,37594,"BLOCO CERAMICO / TIJOLO VAZADO PARA ALVENARIA DE VEDACAO, FUROS NA VERTICAL DE 19 X 19 X 39 CM (L X A X C)",UN,13.6,3.19
103326,SINAPI,37395,"PINO DE ACO COM FURO, HASTE = 27 MM (ACAO DIRETA)",CENTO,0.01,43.74
103326,SINAPI,34548,"TELA DE ACO SOLDADA GALVANIZADA/ZINCADA PARA ALVENARIA, FIO D = *1,20 A 1,70* MM, MALHA 15 X 15 MM, (C X L) *50 X 17,5* CM",M,0.42,5.74
103322,SINAPI,88316,SERVENTE COM ENCARGOS COMPLEMENTARES,H,0.295,29.0540166
