idx,source,code,desc,unit,qty,manual_price,type,status,final_price,method
1,,,SERVIÇOS PRELIMINARES E INDIRETOS,,0.0,,HEADER,HEADER,0.0,SUM_CHILDREN
1.1,,,CANTEIRO DE OBRAS,,0.0,,HEADER,HEADER,0.0,SUM_CHILDREN
1.1.1,SINAPI,93208,"EXECUÇÃO DE ALMOXARIFADO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, INCLUSO PRATELEIRAS",M2,100.0,772.06,ITEM,NO_COMP,772.06,PO_MANUAL
1.1.2,SINAPI,93582,"EXECUÇÃO DE CENTRAL DE ARMADURA EM CANTEIRO DE OBRA, NÃO INCLUSO MOBILIÁRIO E EQUIPAMENTOS",M2,40.0,261.2,ITEM,NO_COMP,261.2,PO_MANUAL
1.1.3,SINAPI,93210,"EXECUÇÃO DE REFEITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, NÃO INCLUSO MOBILIÁRIO E EQUIPAMENTOS",M2,90.0,587.86,ITEM,NO_COMP,587.86,PO_MANUAL
1.1.4,SINAPI,93212,"EXECUÇÃO DE SANITÁRIO E VESTIÁRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, NÃO INCLUSO MOBILIÁRIO",M2,243.68,924.6899999999999,ITEM,NO_COMP,924.6899999999999,PO_MANUAL
1.1.5,SP OBRAS,02.02.130,"LOCAÇÃO DE CONTAINER TIPO ESCRITÓRIO COM 1 VASO SANITÁRIO, 1 LAVATÓRIO E 1 PONTO PARA CHUVEIRO - ÁREA MÍNIMA DE 13,80 M² (DESTINADO A CONSTRUTORA)",UNMES,126.0,1557.79,ITEM,NO_COMP,1557.79,PO_MANUAL
1.1.6,SP OBRAS,02.02.130,"LOCAÇÃO DE CONTAINER TIPO ESCRITÓRIO COM 1 VASO SANITÁRIO, 1 LAVATÓRIO E 1 PONTO PARA CHUVEIRO - ÁREA MÍNIMA DE 13,80 M² (DESTINADO A EMPRESA FISCALIZADORA)",UNMES,60.0,1557.79,ITEM,NO_COMP,1557.79,PO_MANUAL
1.1.7,SP OBRAS,02.02.130,"LOCAÇÃO DE CONTAINER TIPO ESCRITÓRIO COM 1 VASO SANITÁRIO, 1 LAVATÓRIO E 1 PONTO PARA CHUVEIRO - ÁREA MÍNIMA DE 13,80 M² (DESTINADO A EBSERH)",UNMES,36.0,1557.79,ITEM,NO_COMP,1557.79,PO_MANUAL
1.1.8,SP OBRAS,02.02.160,"LOCAÇÃO DE CONTAINER TIPO GUARITA - ÁREA MÍNIMA DE 4,60 M²",UNMES,36.0,948.8399999999999,ITEM,NO_COMP,948.8399999999999,PO_MANUAL
